broadcaster,sno,channelName,lang
9X MEDIA PRIVATE LIMITED,1,9X,HINDI
9X MEDIA PRIVATE LIMITED,2,9X JALWA (PHIR SE 9X),HINDI/ENGLISH /BENGALI&ALL INDIAN INDIAN SCHEDULE LANGUAGE
9X MEDIA PRIVATE LIMITED,3,9X JHAKAAS (9X MARATHI),MARATHI
9X MEDIA PRIVATE LIMITED,4,9XM,HINDI/ENGLISH /BENGALI&ALL INDIAN INDIAN SCHEDULE LANGUAGE
9X MEDIA PRIVATE LIMITED,5,9XO (9XM VELVET),HINDI
9X MEDIA PRIVATE LIMITED,6,Housefull Action (earlier 9X BAJAO (Earlier 9X BAJAAO & 9X BANGLA),HINDI
A ONE NEWS TIME BROADCASTING PRIVATE LIMITED,7,TV 24,HINDI/ PUNJABI/ ENGLISH
A.R. RAIL VIKAS SERVICES PVT. LTD.,8,BHASKAR NEWS (AP 9),"HINDI, ENGLISH, MARATHI AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
A.R. RAIL VIKAS SERVICES PVT. LTD.,9,SATYA,"HINDI, ENGLISH, MARATHI AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
AADRI ENTERTAINMENT AND MEDIA WORKS PVT.LTD.,10,Mahua Plus (earlier AGRO ROYAL TV (Earlier AADRI WELLNESS),TELUGU/HINDI/ENGLISH/GUJARATI/TAMIL/KANNADA/BENGALI/MALAYALAM
AADRI ENTERTAINMENT AND MEDIA WORKS PVT.LTD.,11,Shiva Shakthi Sai TV (earlier BENZE TV (Earlier AADRI ENRICH),TELUGU/HINDI/ENGLISH/GUJARATI/TAMIL/KANNADA/BENGALI/MALAYALAM
AAMODA BROADCASTING COMPANY PRIVATE LIMITED,12,ABN ANDHRA JYOTHI,TELUGU
AAP MEDIA PVT.LTD.,13,ANJAN TV,"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
AASTHA BROAD CASTING NETWORK LIMITED,14,ARIHANT,HINDI/GUJRATI/ENGLISH
ABP NEWS NETWORK PVT. LTD. (Earlier MEDIA CONTENT AND COMMUNICATIONS SERVICES INDIA PRIVATE LIMITED),15,"ABP ASMITA (Earlie ABP SAMACHAR GUJARATI, ABP Sanjha)",GUJARATI
ABP NEWS NETWORK PVT. LTD. (Earlier MEDIA CONTENT AND COMMUNICATIONS SERVICES INDIA PRIVATE LIMITED),16,ABP NEWS (earlier STAR NEWS),HINDI/ENGLISH/MARATHI
ABP NEWS NETWORK PVT. LTD. (Earlier MEDIA CONTENT AND COMMUNICATIONS SERVICES INDIA PRIVATE LIMITED),17,ABP Ananda,BENGALI
ABP NEWS NETWORK PVT. LTD. (Earlier MEDIA CONTENT AND COMMUNICATIONS SERVICES INDIA PRIVATE LIMITED),18,ABP Majha,HINDI/ ENGLISH/ MARATHI
ABP NEWS NETWORK PVT. LTD. (Earlier MEDIA CONTENT AND COMMUNICATIONS SERVICES INDIA PRIVATE LIMITED),19,ABP Andhra,Telugu/Hindi
ABP NEWS NETWORK PVT. LTD. (Earlier MEDIA CONTENT AND COMMUNICATIONS SERVICES INDIA PRIVATE LIMITED),20,ABP News HD,English/Hindi
ABP NEWS NETWORK PVT. LTD. (Earlier MEDIA CONTENT AND COMMUNICATIONS SERVICES INDIA PRIVATE LIMITED),21,ABP Sanjha,Punjabi/Hindi/English
ABP NEWS NETWORK PVT. LTD. (Earlier MEDIA CONTENT AND COMMUNICATIONS SERVICES INDIA PRIVATE LIMITED),22,ABP Tamil,Tamil/Hindi
AETN 18 Media Pvt. Ltd,23,History TV 18 Tamil,"Tamil, English and all other scheduled Indian Languages"
Airtravel Enterprises India Limited,24,ATE TV,MALAYALAM & ENGLISH
AJI INTERNATIONAL PRIVATE LIMITED,25,AL JAZEERA ENGLISH,ENGLISH
ALLIANCE BROADCASTING PRIVATE LIMITED,26,NEWS 7 TAMIL (Earlier REAL ESTATE ),TAMIL 
ALLIANCE STRATEGIES LIMITED,27,K NEWS INDIA (earlier MAGIK / Bhojpuria Magic),"HINDI/Bhojpuri, Kumaoni & Garhwali"
AM Television Pvt. Ltd,28,PRAG (earlier NEWS BANGLA),ENGLISH/ HINDI/ NORTH EASTERN LANGUAGES
AM Television Pvt. Ltd,29,RENGONI,ASSAMESE
AMRITA ENTERPRISES PRIVATE LIMITED,30,AMRITA,MALAYALAM/ HINDI/ ENGLISH
ANDHRAPRABHA PUBLICATIONS LIMITED,31,"INDIA AHEAD (EARLIER BHAARAT TODAY, BHARAT TODAY (Earlier YOUR NEWS))",ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES
Angel Admark Pvt. Ltd.,32,XCLUSIVE TV (Anugraha Malyalam),"Hindi, English, All Indian Languages"
