channel,channelNum
&FLIX,541
&FLIX HD,540
&Pictures,305
&pictures HD,304
&Prive HD,538
&Tv,109
&TV HD,108
10TV Telugu News,0
1Sport,635
24 Ghanta TV,1475
9X Jalwa,
9X Jhakaas,1243
9X M,4005
9X Tashan,1185
A1 TV,730
Aaj Tak,655
Aakash Aath,1413
AASTHA,1077
ABP Ananda,1477
ABP Asmita,1293
ABP GANGA,712
ABP Majha,1253
ABP News,650
ABZY COOL,122
ABZY DHAKAD,2328
ABZY MOVIES,345
Adithya TV,0
AIR ASSAMESE,2228
AIR Bangla,2216
AIR BHOPAL - FTA,2214
AIR CHENNAI,2219
Air Fm gold chennai,2229
AIR FM GOLD KOLKATA - FTA,2230
AIR FM RAINBOW MUMBAI- FTA,2222
AIR Gujrati,2207
AIR Hindi,2217
AIR JAIPUR - FTA,2221
AIR Kannada,2215
AIR LUCKNOW - FTA,2212
AIR MALAYALAMM,2227
AIR NE,2218
AIR ORIYA,2226
AIR PATNA - FTA,2213
AIR Punjabi,2209
AIR RAGAM,2223
AIR URDU,2225
Al jazeera,787
Alankar,1331
Amrita Tv,0
Animal Planet,806
ANIMAL PLANET HD,805
Arihant TV,1107
ASIANET,1902
Asianet Movies,0
ASIANET News,1961
ASIANET Plus,0
Assam Talk,1527
AYUSHMAAN ACTIVE,130
B4U BHOJPURI,1560
B4U KADAK,411
B4U Movies,360
B4u Music,457
Baby tv HD,982
BBC World News,783
Bhakti Active,1069
Bhojpuri Cinema,1554
Big Ganga,1552
Big Magic,118
Bindass,145
BIZZ 24,4095
BOX CINEMA,344
BUZZ SD 2,97
Captain TV,0
Cartoon Network,953
CGTN,785
CHANNEL WIN,1113
CHARDIKLA TIME TV,1152
Chutti TV,0
CINE ACTIVE,323
CINEMA TV INDIA,348
CNBC AWAAZ,733
CNBC Bajar,1297
CNBC PRIME HD,754
CNBC TV18,755
CNN INTL,781
CNN NEWS 18,769
Colors,121
Colors Bangla,1411
Colors Bangla HD,1410
COLORS CINEPLEX,313
COLORS CINEPLEX HD,312
Colors Gujarati,1272
COLORS GUJARATI CINEMA,1273
