channel,channelNum
Sun TV HD,800
KTV HD,802
Sun Music HD,804
Star Vijay HD,806
Sun TV,100
K TV,102
Sun Music,104
Adithya TV,106
Chutti TV,108
Sun Life,110
Kalaignar TV,111
Jaya TV,116
Makkal TV,118
Captain TV,119
Zee Tamil,120
DD Podhigai,121
Isaiaruvi,122
Vijay TV,123
Jaya Max,124
Colors Tamil,127
Kalaignar Seithigal,128
News 18 Tamil,129
Puthiya Thalaimurai,130
Sun News,131
Thanthi TV,132
Jaya Plus,133
News 7 Tamil,134
Captain News,135
Travel XP Tamil,136
Murasu TV,143
Vasanth TV,144
Mega TV,145
Vijay Super,146
Super TV,147
Gemini TV HD,820
Gemini Movies HD,822
Gemini Music HD,824
Maa HD,828
ETV HD,830
Zee Telugu HD,832
Gemini TV,150
ETV Telugu,152
Gemini Movies,154
Maa TV,156
Gemini Music,157
Zee Telugu,158
Gemini Comedy,159
Kushi TV,160
Gemini Life,161
ETV Plus,164
Zee Cinemalu,167
Maa Movies,168
ETV Cinema,169
Maa Music,170
ETV Abhiruchi,172
ETV Andhra Pradesh,173
ETV Telangana,174
Maa Gold,175
TV9,176
Gemini News,177
TV5 Telugu,178
NTV,180
V6 News,182
Sakshi TV,184
HM TV,185
ABN Andhra Jyothi,186
T News,187
DD Yadagiri,188
DD Saptagiri,189
Surya HD,850
Asianet HD,854
Mazhavil Manorama HD,856
Surya TV,200
Asianet,201
Surya Movies,202
Mazhavil Manorama,203
Surya Music,204
Kochu TV,205
Flowers TV,206
Surya Comedy,208
Asianet Plus,212
Kairali TV,214
Kairali We,215
Amritha TV,216
DD Malayalam,218
Jaihind,220
News 18 Kerala,221
Asianet News,222
Mathrubhumi News,223
Manorama News,224
Kairali People,225
Media One,226
Asianet Movies,229
Safari TV,235
Udaya HD,860
Colors Kannada HD,864
Udaya TV,250
Colors Kannada,252
Udaya Movies,253
Zee Kannada,254
Udaya Music,256
Star Suvarna,258
Udaya Comedy,259
Chintu,260
Colors Super,261
Kasthuri TV,266
DD Chandana,268
Star Suvarna Plus :new,270
TV9 Kannada,272
Udaya News,274
ETV Kannada News,275
Suvarna News 24×7,276
Public TV,277
Dig Vijay TV,278
Colors HD,870
Star Plus HD,872
Sony HD,874
Zee TV HD,876
Star Bharat HD,877
&TV HD,878
& Pictures HD,882
Zee Cinema HD,884
Sony Max HD,885
Cineplex HD,886
Sony Rox HD,890
MTV Beats HD,892
DD National,302
Colors,304
Star Plus,306
Zee TV,308
Sony TV,310
Rishtey,311
Zee Anmol,312
Sony Pal,313
Star Bharat,318
Sony Sab,320
Star Utsav,322
DD Bharati,326
Sony Leplex HD,902
Sony Pix HD,904
HBO HD,906
ZEE Studio HD,908
& Prive HD,910
Star Movies Select HD,912
Star Movies HD,914
Movies Now HD,916
MN+ HD,917
MNX HD,918
Romedy Now HD,919
Zee Cafe HD,930
Star World HD,931
Star World Premiere HD,932
AXN HD,936
Comedy Central HD,939
Colors Infinity HD,941
Disney HD,947
VH1 HD,946
Times Now HD,948
Discovery HD,951
NGC HD,953
Sony BBC Earth HD,955
Animal Planet HD,957
History TV18 HD,960
FYI TV18 HD,961
TLC HD World,962
Travel XP HD,964
Sony Six HD,975
Sony ESPN HD,977
Sony Ten 1 HD,982
Sony Ten 2 HD,983
Star Sports 1 HD,984
"Star Sports 2 HD (English,Hindi,Tamil)",986
Star Sports Select 1 HD,987
Star Sports Select 2 HD,988
Tamil Cinema Club,108
Telugu Cinema Club,162
Malayalam Cinema Club,207
Kannada Cinema Club,264
Naaptol Tamil,125
Naaptol Telugu,171
Naaptol Malayalam,217
Naaptol Kannada,263
