channel,channelNum
DD National ,114
Star Plus HD ,115
Star Plus ,117
Star Bharat HD ,121
Star Bharat ,122
SET HD ,128
SET ,130
Sony SAB HD ,132
Sony SAB ,134
&TV HD ,137
&TV ,139
Zee TV HD ,141
Zee TV ,143
Colors HD ,147
Colors ,149
UTV Bindass ,153
Investigation Discovery ,155
Naaptol ,156
Indology ,157
Ezmall ,158
Star Utsav ,171
Zee Anmol ,172
Colors Rishtey ,173
Sony Pal ,174
The Q India ,175
Big Magic ,176
Dangal ,177
Anjan TV ,178
DD Kisan ,198
Star World HD ,204
,
Star World ,206
,
Star World Premiere HD ,208
,
AXN HD ,213
,
AXN ,215
,
Zee Café HD ,218
,
Zee Café ,220
,
Colors Infinity HD ,224
,
Colors Infinity ,226
,
Comedy Central HD ,229
,
Comedy Central ,230
,
Disney International HD ,232
,
Star Gold HD ,308
Star Gold ,310
Sony Max HD ,312
Sony Max ,314
Star Gold 2 ,317
Zee Cinema HD ,319
Zee Cinema ,321
UTV HD ,322
UTV Movies ,323
UTV Action ,325
Zee Bollywood ,327
Zee Classic ,328
&pictures HD ,331
&pictures ,332
Cinema TV India ,333
B4U Kadak ,334
Zee Action ,335
Sony Wah ,336
B4U Movies ,337
Sony Max 2 ,338
Star Gold Select HD ,339
Star Gold Select ,340
Colors Cineplex HD ,341
Colors Cineplex ,342
Wow Cinema One ,343
Enterr10 ,344
Bflix Movies ,345
Star Utsav Movies ,346
Zee Anmol Cinema ,348
Abzy Movies ,349
Manoranjan TV ,350
Maha Movie ,351
Surya Cinema ,352
Star Movies HD ,353
Star Movies ,355
Sony Pix HD ,359
Sony Pix ,360
HBO HD ,363
HBO ,364
&flix HD ,365
&flix ,366
WB ,369
Star Movies Select HD ,370
Movies Now HD ,376
Movies Now ,377
MN+ HD ,378
MNX HD ,380
MNX ,381
Romedy Now HD ,382
Romedy Now ,383
&prive HD ,385
DD Sports ,453
Star Sports 1 HD ,454
Star Sports 1 ,455
Star Sports 2 HD ,456
Star Sports 2 ,457
Star Sports 3 ,458
Star Sports 1 Hindi HD ,459
Star Sports 1 Hindi ,460
Star Sports Select 1 HD ,463
Star Sports Select 1 ,464
Star Sports Select 2 HD ,465
Star Sports Select 2 ,466
Sony Ten 1 HD ,470
Sony Ten 1 ,471
Sony Ten 2 HD ,473
Sony Ten 2 ,474
Sony Ten 3 HD ,475
Sony Ten 3 ,476
Sony Six HD ,483
Sony Six ,484
Eurosport ,496
Star Sports First ,497
DD News HD ,501
DD News ,502
ABP News ,504
NDTV India ,506
Aaj Tak HD ,508
Aaj Tak ,509
Zee News ,511
India TV ,514
News 24 ,516
News18 India ,519
Zee Hindustan ,520
R Bharat ,521
India News ,522
News Nation ,523
News World India ,525
Total TV ,527
TV9 Bharatvarsh ,529
India News Haryana ,530
Sudarshan News ,534
OK India ,538
APN News ,542
MH One News ,548
India News UP UK ,550
News State UP Uttarakhand ,552
India News MP CH ,554
India News Rajasthan ,556
Janta TV ,562
Zee Uttar Pradesh Uttarakhand ,568
News State MP CG ,570
News 11 Bharat ,579
News 1 India ,580
Patrika TV Rajasthan ,581
Swaraj Express SMBC ,582
Hindi Khabar ,583
R9 TV ,586
Bharat Samachar ,587
Khabrain Abhi Tak ,589
Aaj Tak Tez ,590
Samay ,591
Swaraj Express ,592
Jantantra TV ,593
Zee Business ,594
CNBC Awaaz ,595
Lok Sabha ,598
Rajya Sabha ,599
NDTV 24x7 ,604
Times Now World (HD) ,605
Times Now ,606
India Today ,609
CNN News18 ,611
NewsX ,613
Mirror Now ,614
WION ,615
Republic TV ,616
India Ahead ,617
DD India ,620
NDTV Profit Prime ,621
CNBC TV18 Prime HD ,622
CNBC TV18 ,623
ET Now ,625
News 9 ,629
CNN ,631
BBC World ,633
Al Jazeera ,635
Channel News Asia ,636
France 24 ,637
TV5 Monde Asie ,638
DW ,639
Australia Plus ,640
Russia Today ,641
NHK World ,642
Hungama TV ,655
Marvel HQ ,657
Disney ,659
Nick HD+ ,662
Nick ,663
Cartoon Network HD+ ,665
Cartoon Network ,666
Pogo ,670
Discovery Kids ,672
Sonic Nickelodeon ,674
Baby TV HD ,676
Nick Jr ,680
Disney Junior ,681
Sony Yay ,686
Kushi TV ,689
