broadcaster,Sl. No,channelName, genre, lang,cost,streamType
AETN 18 Media Pvt Limited,1,The History Channel ,Infotainment,Hindi,3,SD
AETN 18 Media Pvt Limited,2,FY1 TV18,Infotainment,English,0.25,SD
AETN 18 Media Pvt Limited,3,FY1 TV18 (HD),Infotainment,English,1,HD
AETN 18 Media Pvt Limited,4,Histroy TV 18 HD,Infotainment,Hindi,7,HD
Asianet Star Communications Private Limited,5,Vijay TV ,GEC,Tamil,17,SD
Asianet Star Communications Private Limited,6,Vijay Super,GEC,Tamil,2,SD
Asianet Star Communications Private Limited,7,Vijay HD,GEC,Tamil,19,HD
Asianet Star Communications Private Limited,8,Asianet ,GEC,Malayalam,19,SD
Asianet Star Communications Private Limited,9,Asianet Plus,GEC,Malayalam,5,SD
Asianet Star Communications Private Limited,10,Asianet Movies,Movies,Malayalam,15,SD
Asianet Star Communications Private Limited,11,Suvarna Plus,Movies,Kannada,1,SD
Asianet Star Communications Private Limited,12,Star Suvarna  HD,GEC,Kannada,19,HD
Asianet Star Communications Private Limited,13,Asianet HD,GEC,Malayalam,19,HD
Asianet Star Communications Private Limited,14,Star Suvarna ,GEC,Kannada,9,SD
Bangla Entertainment Private Limited,15,AATH,GEC,Bangla,4,SD
Bangla Entertainment Private Limited,16,SONY Marathi ,GEC,Marathi,4,SD
BBC Global News India Private Limited,17,BBC World News,News,English,1,SD
"Bennett, Coleman & Company Limited",18,Zoom,GEC,Hindi,0.5,SD
"Bennett, Coleman & Company Limited",19,Romedy Now,Movies,English,6,SD
"Bennett, Coleman & Company Limited",20,MN +,Movies,English,10,HD
"Bennett, Coleman & Company Limited",21,Mirror Now  ,News,English/Hindi,0.5,SD
"Bennett, Coleman & Company Limited",22,ET NOW,News,English/Hindi,3,SD
"Bennett, Coleman & Company Limited",23,Times Now,News,English/Hindi,3,SD
"Bennett, Coleman & Company Limited",24,Romedy Now HD,Movies,English,9,HD
"Bennett, Coleman & Company Limited",25,Movies Now HD,Movies,English,12,HD
"Bennett, Coleman & Company Limited",26,MNX HD ,Movies,English,9,HD
"Bennett, Coleman & Company Limited",27,MNX ,Movies,English,6,SD
"Bennett, Coleman & Company Limited",28,Times Now World ,News,English,5,HD
