sno,broadcaster,channelName,lang,cost,genre,streamType,airtelChannelNum,dishTVChannelNum,sunDirectChannelNum,tataSkyChannelNum,d2hChannelNum
1,9X MEDIA PRIVATE LIMITED,9X,HINDI,0,,,,,,,
2,9X MEDIA PRIVATE LIMITED,9X JALWA (PHIR SE 9X),HINDI/ENGLISH /BENGALI&ALL INDIAN INDIAN SCHEDULE LANGUAGE,0,,,,,,,
3,9X MEDIA PRIVATE LIMITED,9X JHAKAAS (9X MARATHI),MARATHI,0,,,,,,,
4,9X MEDIA PRIVATE LIMITED,9XM,HINDI/ENGLISH /BENGALI&ALL INDIAN INDIAN SCHEDULE LANGUAGE,0,,,,,,,
5,9X MEDIA PRIVATE LIMITED,9XO (9XM VELVET),HINDI,0,,,,,,,
6,9X MEDIA PRIVATE LIMITED,Housefull Action (earlier 9X BAJAO (Earlier 9X BAJAAO & 9X BANGLA),HINDI,0,,,,,,,
7,A ONE NEWS TIME BROADCASTING PRIVATE LIMITED,TV 24,HINDI/ PUNJABI/ ENGLISH,0,,,,,,,
8,A.R. RAIL VIKAS SERVICES PVT. LTD.,BHASKAR NEWS (AP 9),"HINDI, ENGLISH, MARATHI AND ALL OTHER INDIAN SCHEDULE LANGUAGE",0,,,,,,,
9,A.R. RAIL VIKAS SERVICES PVT. LTD.,SATYA,"HINDI, ENGLISH, MARATHI AND ALL OTHER INDIAN SCHEDULE LANGUAGE",0,,,,,,,
10,AADRI ENTERTAINMENT AND MEDIA WORKS PVT.LTD.,Mahua Plus (earlier AGRO ROYAL TV (Earlier AADRI WELLNESS),TELUGU/HINDI/ENGLISH/GUJARATI/TAMIL/KANNADA/BENGALI/MALAYALAM,0,,,,,,,
11,AADRI ENTERTAINMENT AND MEDIA WORKS PVT.LTD.,Shiva Shakthi Sai TV (earlier BENZE TV (Earlier AADRI ENRICH),TELUGU/HINDI/ENGLISH/GUJARATI/TAMIL/KANNADA/BENGALI/MALAYALAM,0,,,,,,,
12,AAMODA BROADCASTING COMPANY PRIVATE LIMITED,ABN ANDHRA JYOTHI,TELUGU,0,,,,,,,
13,AAP MEDIA PVT.LTD.,ANJAN TV,"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES",0,,,,,,,
14,AASTHA BROAD CASTING NETWORK LIMITED,ARIHANT,HINDI/GUJRATI/ENGLISH,0,,,,,,,
15,ABP NEWS NETWORK PVT. LTD,"ABP ASMITA (Earlie ABP SAMACHAR GUJARATI, ABP Sanjha)",GUJARATI,0,,,,,,,
16,ABP NEWS NETWORK PVT. LTD,ABP NEWS (earlier STAR NEWS),HINDI/ENGLISH/MARATHI,0,,,,,,,
17,ABP NEWS NETWORK PVT. LTD,ABP Ananda,BENGALI,0,,,,,,,
18,ABP NEWS NETWORK PVT. LTD,ABP Majha,HINDI/ ENGLISH/ MARATHI,0,,,,,,,
19,ABP NEWS NETWORK PVT. LTD,ABP Andhra,Telugu/Hindi,0,,,,,,,
20,ABP NEWS NETWORK PVT. LTD,ABP News HD,English/Hindi,0,,,,,,,
21,ABP NEWS NETWORK PVT. LTD,ABP Sanjha,Punjabi/Hindi/English,0,,,,,,,
22,ABP NEWS NETWORK PVT. LTD,ABP Tamil,Tamil/Hindi,0,,,,,,,
23,AETN 18 Media Pvt. Ltd,History TV 18 Tamil,"Tamil, English and all other scheduled Indian Languages",0,,,,,,,
24,Airtravel Enterprises India Limited,ATE TV,MALAYALAM & ENGLISH,0,,,,,,,
